역명,지번주소
망우,서울특별시 중랑구 상봉동 172
양원(서울시북부병원),서울특별시 중랑구 망우동 269-5
구리,경기도 구리시 인창동 244-2
도농,경기도 남양주시 도농동 56-1
양정,경기도 남양주시 이패동 387
덕소,경기도 남양주시 와부읍 덕소리 590-17
도심,경기도 남양주시 와부읍 도곡리 1024-2
팔당,경기도 남양주시 와부읍 팔당리 360
운길산,경기도 남양주시 조안면 진중리 229-1
양수,경기도 양평군 양서면 용담리 255-2
신원,경기도 양평군 양서면 신원리 480-29
국수,경기도 양평군 양서면 국수리 258-25
아신(아세아연합신학대),경기도 양평군 옥천면 아신리 산 112-2
오빈,경기도 양평군 양평읍 오빈리 238-41
양평,경기도 양평군 양평읍 양근리 130-37
원덕(추읍산),경기도 양평군 양평읍 원덕리 306-4
용문,경기도 양평군 용문면 다문리 736-13
지평,경기도 양평군 지평면 지평리 1120-10
효창공원앞,서울특별시 용산구 효창동 80 
공덕,서울특별시 마포구 도화동 25-13
서강대,서울특별시 마포구 노고산동 112-5
홍대입구,서울특별시 마포구 동교동 190-1
가좌,서울특별시 서대문구 남가좌동 296-12
디지털미디어시티,서울특별시 은평구 수색동 37-7
수색,서울특별시 은평구 수색동 81
화전(한국항공대),경기도 고양시 덕양구 화전동 183-10
강매,경기도 고양시 덕양구 행신동 1115-1
행신,경기도 고양시 덕양구 행신2동 812
능곡,경기도 고양시 덕양구 토당동 454-3
대곡,경기도 고양시 덕양구 대장동 420-1
곡산,경기도 고양시 일산동구 백석동 1185-1
백마,경기도 고양시 일산동구 백석동 92
풍산,경기도 고양시 일산동구 풍동 1042
일산,경기도 고양시 일산서구 일산동 655-691
탄현,경기도 고양시 일산서구 덕이동 238번지
야당,경기도 파주시 야당동 1088
운정,경기도 파주시 교하읍 야당리 295번지
금릉,경기도 파주시 금촌동 605-1
금촌,경기도 파주시 금촌동 329-355
월롱(서영대학교),경기도 파주시 월롱면 위전리 168-3
파주(두원대학),경기도 파주시 파주읍 봉암리 487-4
문산,경기도 파주시 문산읍 문산리 17-14
임진강,경기도 파주시 문산읍 마정리 1253-3
서울역,서울특별시 중구 봉래동 2가 122-28
신촌,서울특별시 서대문구 신촌동 74-12
광운대,서울특별시 노원구 월계동 85
청량리,서울특별시 동대문구 전농동 588-1
회기,서울특별시 동대문구 휘경동 317-101
중랑,서울특별시 중랑구 중화동 73-7
상봉,서울특별시 중랑구 상봉동 100-46
망우,서울특별시 중랑구 상봉동 172
신내,서울특별시 중랑구 망우동 320
갈매,경기도 구리시 갈매동 502-39
별내(삼육대학교),경기도 남양주시 별내동 182-5
퇴계원,경기도 남양주시 퇴계원면 퇴계원리 218-142
사릉,경기도 남양주시 진건읍 사능리 605-3
금곡,경기도 남양주시 금곡동 404-276
평내호평,경기도 남양주시 평내동 660
천마산,경기도 남양주시 화도읍 묵현리 320-11
마석,경기도 남양주시 화도읍 마석우리 222-2
대성리,경기도 가평군 청평면 대성리 393-3
청평,경기도 가평군 청평면 청평리 125-1
상천(호명호수),경기도 가평군 청평면 상천리 1260-1
가평(자라섬·남이섬),경기도 가평군 가평읍 달전리 567
굴봉산(제이드가든),강원도 춘천시 남산면 백양리 588-30
백양리(엘리시안강촌),강원도 춘천시 남산면 강촌리 680-7
강촌,강원도 춘천시 남산면 방곡리 409
김유정,강원도 춘천시 신동면 증리 945-1
남춘천(강원대),강원도 춘천시 퇴계동 633-2
춘천(한림대),강원도 춘천시 근화동 190
부전,부산광역시 부산진구 부전동 280-76
거제해맞이,부산광역시 연제구 거제동 649-12
거제(법원·검찰청),부산광역시 연제구 거제동 419-2
교대,부산광역시 연제구 거제동 42-3
동래,부산광역시 동래구 낙민동 130-4
안락,부산광역시 동래구 안락동 201-2
부산원동,부산광역시 동래구 안락동 1063-1
재송,부산광역시 해운대구 재송동 909-2
센텀,부산광역시 해운대구 재송동 646-2
벡스코,부산광역시 해운대구 우동 1111-2
신해운대,부산광역시 해운대구 좌동 132
송정,부산광역시 해운대구 송정동 120-1
오시리아,부산광역시 기장군 기장읍 당사리 261-8
기장,부산광역시 기장군 기장읍 대라리 4-13
일광,부산광역시 기장군 삼성리 21-1
청량리,서울특별시 동대문구 전농동 588-1
왕십리,서울특별시 성동구 행당동 168-151
서울숲,서울특별시 성동구 성수동1가 656-436
압구정로데오,서울특별시 강남구 압구정동 495
강남구청,서울특별시 강남구 삼성동 111-44
선정릉(한국과학창의재단),서울특별시 강남구 삼성동 111-44
선릉,서울특별시 강남구 삼성동 172-66
한티,서울특별시 강남구 대치동 1011-28
도곡,서울특별시 강남구 도곡동 467-5
구룡,서울특별시 강남구 개포동 175-3
개포동,서울특별시 강남구 개포동 195
대모산입구,서울특별시 강남구 일원동 700
수서,서울특별시 강남구 수서동 728
복정(동서울대학),서울특별시 송파구 장지동 596-21
가천대,경기도 성남시 수정구 태평동 7131
태평,경기도 성남시 수정구 수진동 4808
모란,경기도 성남시 중원구 성남동 1575
야탑,경기도 성남시 분당구 야탑동 488-1
이매(성남아트센터),경기도 성남시 분당구 이매동 129-1
서현,경기도 성남시 분당구 서현동 263
수내(한국잡월드),경기도 성남시 분당구 수내동 14
정자,경기도 성남시 분당구 정자동 95-1
미금(분당서울대병원),경기도 성남시 분당구 금곡동 222
오리,경기도 성남시 분당구 구미동 197-1
죽전(단국대),경기도 용인시 수지구 죽전동 1286
보정,경기도 용인시 기흥구 보정동 1285
구성,경기도 용인시 기흥구 마북동 460-3
신갈,경기도 용인시 기흥구 신갈동 167
기흥(백남준아트센터),경기도 용인시 기흥구 구갈동 227-25
상갈(루터대학교),경기도 용인시 기흥구 상갈동 227-3
청명,경기도 수원시 영통구 영통동 1055
영통(경희대),경기도 수원시 영통구 영통동 1055
망포,경기도 수원시 영통구 영통동 1069
매탄권선,경기도 수원시 영통구 매탄동 687-4
수원시청(경기도문화의전당),경기도 수원시 권선구 권선동 1122
매교,경기도 수원시 팔달구 매교동 283
수원,경기도 수원시 팔달구 매산로1가 18
고색,경기도 수원시 권선구 평동 서부로 1566번길 10
오목천,경기도 수원시 권선구 오목천동 472-3
어천,경기도 화성시 매송면 어천리 410-1
야목,경기도 화성시 매송면 야목리 792-2
사리,경기도 안산시 상록구 사동 299-5
한대앞,경기도 안산시 상록구 이동 211-5
중앙,경기도 안산시 단원구 고잔동 167-378
고잔,경기도 안산시 단원구 고잔동 453-67
초지,경기도 안산시 단원구 초지동 25-1
안산,경기도 안산시 단원구 원곡동 325-12
신길온천,경기도 안산시 단원구 신길동 216-2
정왕,경기도 시흥시 정왕동 2325-12
오이도,경기도 시흥시 정왕동 878
달월,경기도 시흥시 월곶동 662-3
월곶,경기도 시흥시 월곶동 992-8
소래포구,인천광역시 남동구 논현동 731-7
인천논현,인천광역시 남동구 논현동 731-4
호구포,인천광역시 남동구 논현동 731-1
남동인더스파크,인천광역시 남동구 고잔동 970-8
원인재,인천광역시 연수구 연수동 585-1
연수,인천광역시 연수구 연수동 589
송도,인천광역시 연수구 옥련동 산 51-3
인하대,인천광역시 미추홀구 용현동 672-1
숭의(인하대병원),인천광역시 미추홀구 용현동 686-55
신포,인천광역시 중구 사동 26-19
인천,인천광역시 중구 북성동2가 14
