"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20210501 ~ 20220419"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 남양주시"
"읍면동 : 별내동"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"경기도 남양주시 별내동","900","0900","0000","대원칸타빌","107.65","202107","5","84,500","5","2012","순화궁로 384","","-","-"
"경기도 남양주시 별내동","900","0900","0000","대원칸타빌","107.65","202108","3","89,500","23","2012","순화궁로 384","","-","-"
"경기도 남양주시 별내동","900","0900","0000","대원칸타빌","132.73","202108","8","91,000","24","2012","순화궁로 384","","-","-"
"경기도 남양주시 별내동","900","0900","0000","대원칸타빌","132.73","202108","25","98,000","7","2012","순화궁로 384","","-","-"
"경기도 남양주시 별내동","900","0900","0000","대원칸타빌","107.65","202109","2","91,000","22","2012","순화궁로 384","","-","-"
"경기도 남양주시 별내동","900","0900","0000","대원칸타빌","132.73","202204","11","70,000","8","2012","순화궁로 384","","직거래","-"
"경기도 남양주시 별내동","1058","1058","0000","동익미라벨(1058)","101.376","202105","13","90,000","3","2013","별내중앙로 83","","-","-"
"경기도 남양주시 별내동","1058","1058","0000","동익미라벨(1058)","111.41","202107","7","94,000","5","2013","별내중앙로 83","","-","-"
"경기도 남양주시 별내동","1058","1058","0000","동익미라벨(1058)","101.376","202204","7","86,000","2","2013","별내중앙로 83","","중개거래","경기 남양주시"
"경기도 남양주시 별내동","1060","1060","0000","동익미라벨(1060)","111.41","202106","30","90,500","7","2013","별내중앙로 84","","-","-"
"경기도 남양주시 별내동","1060","1060","0000","동익미라벨(1060)","101.311","202106","30","87,350","5","2013","별내중앙로 84","","-","-"
"경기도 남양주시 별내동","1060","1060","0000","동익미라벨(1060)","111.34","202106","30","87,800","14","2013","별내중앙로 84","","-","-"
"경기도 남양주시 별내동","1060","1060","0000","동익미라벨(1060)","111.34","202107","1","88,000","2","2013","별내중앙로 84","","-","-"
"경기도 남양주시 별내동","1060","1060","0000","동익미라벨(1060)","101.311","202107","24","86,800","9","2013","별내중앙로 84","","-","-"
"경기도 남양주시 별내동","1060","1060","0000","동익미라벨(1060)","111.41","202107","30","92,000","13","2013","별내중앙로 84","","-","-"
"경기도 남양주시 별내동","1060","1060","0000","동익미라벨(1060)","101.62","202109","3","90,000","3","2013","별내중앙로 84","","-","-"
"경기도 남양주시 별내동","1060","1060","0000","동익미라벨(1060)","101.311","202111","2","92,000","3","2013","별내중앙로 84","","중개거래","경기 남양주시"
"경기도 남양주시 별내동","1060","1060","0000","동익미라벨(1060)","111.41","202201","10","97,000","4","2013","별내중앙로 84","","중개거래","경기 남양주시"
"경기도 남양주시 별내동","899","0899","0000","모아미래도아파트","84.9734","202105","8","70,500","13","2014","불암로 336","","-","-"
"경기도 남양주시 별내동","899","0899","0000","모아미래도아파트","84.9838","202106","27","76,000","23","2014","불암로 336","","-","-"
"경기도 남양주시 별내동","899","0899","0000","모아미래도아파트","84.9734","202108","31","65,000","15","2014","불암로 336","","-","-"
"경기도 남양주시 별내동","899","0899","0000","모아미래도아파트","84.9838","202109","2","78,000","21","2014","불암로 336","","-","-"
"경기도 남양주시 별내동","899","0899","0000","모아미래도아파트","84.9838","202109","27","79,800","6","2014","불암로 336","","-","-"
"경기도 남양주시 별내동","899","0899","0000","모아미래도아파트","84.9838","202111","1","80,000","15","2014","불암로 336","","중개거래","경기 남양주시"
"경기도 남양주시 별내동","808","0808","0000","별내별가람역 한라비발디","84.97","202106","5","84,500","9","2013","덕송3로 7","","-","-"
"경기도 남양주시 별내동","808","0808","0000","별내별가람역 한라비발디","84.98","202106","22","60,000","5","2013","덕송3로 7","","-","-"
"경기도 남양주시 별내동","808","0808","0000","별내별가람역 한라비발디","84.64","202107","10","83,500","18","2013","덕송3로 7","","-","-"
"경기도 남양주시 별내동","808","0808","0000","별내별가람역 한라비발디","84.98","202107","26","89,000","16","2013","덕송3로 7","","-","-"
"경기도 남양주시 별내동","808","0808","0000","별내별가람역 한라비발디","75.56","202110","5","83,000","15","2013","덕송3로 7","","-","-"
"경기도 남양주시 별내동","808","0808","0000","별내별가람역 한라비발디","84.97","202110","6","86,500","4","2013","덕송3로 7","","-","-"
"경기도 남양주시 별내동","808","0808","0000","별내별가람역 한라비발디","84.64","202112","17","85,000","13","2013","덕송3로 7","","중개거래","서울 노원구"
"경기도 남양주시 별내동","852","0852","0000","별내아이파크2차","72.48","202105","13","86,900","13","2015","덕송1로 30","","-","-"
"경기도 남양주시 별내동","852","0852","0000","별내아이파크2차","84.62","202105","19","90,000","22","2015","덕송1로 30","","-","-"
"경기도 남양주시 별내동","852","0852","0000","별내아이파크2차","84.55","202105","25","91,000","11","2015","덕송1로 30","","-","-"
"경기도 남양주시 별내동","852","0852","0000","별내아이파크2차","84.55","202105","25","86,000","25","2015","덕송1로 30","","-","-"
"경기도 남양주시 별내동","852","0852","0000","별내아이파크2차","84.62","202106","8","95,000","12","2015","덕송1로 30","","-","-"
"경기도 남양주시 별내동","852","0852","0000","별내아이파크2차","84.62","202107","15","85,000","2","2015","덕송1로 30","","-","-"
"경기도 남양주시 별내동","852","0852","0000","별내아이파크2차","72.48","202107","17","88,800","23","2015","덕송1로 30","","-","-"
"경기도 남양주시 별내동","852","0852","0000","별내아이파크2차","84.62","202107","17","89,500","5","2015","덕송1로 30","","-","-"
"경기도 남양주시 별내동","852","0852","0000","별내아이파크2차","84.62","202107","27","92,500","23","2015","덕송1로 30","","-","-"
"경기도 남양주시 별내동","852","0852","0000","별내아이파크2차","72.48","202107","31","88,800","23","2015","덕송1로 30","","-","-"
"경기도 남양주시 별내동","852","0852","0000","별내아이파크2차","72.48","202108","20","88,000","28","2015","덕송1로 30","","-","-"
"경기도 남양주시 별내동","852","0852","0000","별내아이파크2차","84.45","202108","24","88,000","3","2015","덕송1로 30","","-","-"
"경기도 남양주시 별내동","852","0852","0000","별내아이파크2차","72.48","202108","26","90,500","25","2015","덕송1로 30","","-","-"
"경기도 남양주시 별내동","852","0852","0000","별내아이파크2차","84.08","202109","1","89,000","3","2015","덕송1로 30","","-","-"
"경기도 남양주시 별내동","852","0852","0000","별내아이파크2차","84.45","202109","2","99,000","24","2015","덕송1로 30","","-","-"
"경기도 남양주시 별내동","852","0852","0000","별내아이파크2차","84.08","202109","28","88,500","3","2015","덕송1로 30","","-","-"
"경기도 남양주시 별내동","852","0852","0000","별내아이파크2차","84.45","202110","7","87,500","1","2015","덕송1로 30","","-","-"
"경기도 남양주시 별내동","852","0852","0000","별내아이파크2차","84.45","202111","17","94,000","5","2015","덕송1로 30","","직거래","-"
"경기도 남양주시 별내동","852","0852","0000","별내아이파크2차","72.48","202203","17","81,000","9","2015","덕송1로 30","","중개거래","경기 남양주시"
"경기도 남양주시 별내동","1035","1035","0000","별내우미린","117.5534","202105","21","97,700","7","2012","별내3로 24","","-","-"
"경기도 남양주시 별내동","1035","1035","0000","별내우미린","117.9976","202106","14","99,000","6","2012","별내3로 24","","-","-"
"경기도 남양주시 별내동","1035","1035","0000","별내우미린","117.9976","202107","15","97,300","4","2012","별내3로 24","","-","-"
"경기도 남양주시 별내동","1035","1035","0000","별내우미린","117.9976","202107","20","99,500","10","2012","별내3로 24","","-","-"
"경기도 남양주시 별내동","1035","1035","0000","별내우미린","101.9549","202108","8","92,000","18","2012","별내3로 24","","-","-"
"경기도 남양주시 별내동","1035","1035","0000","별내우미린","117.9976","202108","11","103,000","18","2012","별내3로 24","","-","-"
"경기도 남양주시 별내동","1035","1035","0000","별내우미린","117.9976","202108","15","98,000","3","2012","별내3로 24","","-","-"
"경기도 남양주시 별내동","1035","1035","0000","별내우미린","117.9976","202108","22","104,000","20","2012","별내3로 24","","-","-"
"경기도 남양주시 별내동","1035","1035","0000","별내우미린","117.9976","202109","5","105,000","16","2012","별내3로 24","","-","-"
"경기도 남양주시 별내동","895","0895","0000","별내우미린스타포레","84.8413","202107","9","72,000","7","2019","별내5로 189-1","","-","-"
"경기도 남양주시 별내동","895","0895","0000","별내우미린스타포레","84.8413","202108","18","80,500","4","2019","별내5로 189-1","","-","-"
"경기도 남양주시 별내동","895","0895","0000","별내우미린스타포레","84.9914","202108","18","80,000","13","2019","별내5로 189-1","","-","-"
"경기도 남양주시 별내동","895","0895","0000","별내우미린스타포레","84.9914","202109","4","81,000","16","2019","별내5로 189-130","","-","-"
"경기도 남양주시 별내동","895","0895","0000","별내우미린스타포레","84.9914","202111","1","84,000","3","2019","별내5로 189-1","","중개거래","경기 남양주시"
"경기도 남양주시 별내동","895","0895","0000","별내우미린스타포레","84.8413","202112","20","85,000","1","2019","별내5로 189-130","","중개거래","경기 구리시, 경기 남양주시"
"경기도 남양주시 별내동","893","0893","0000","별내유승한내들이노스타","75.333","202105","16","58,000","8","2014","송산로 277","","-","-"
"경기도 남양주시 별내동","893","0893","0000","별내유승한내들이노스타","75.333","202105","18","55,000","3","2014","송산로 277","","-","-"
"경기도 남양주시 별내동","893","0893","0000","별내유승한내들이노스타","75.333","202106","12","58,000","7","2014","송산로 277","","-","-"
"경기도 남양주시 별내동","893","0893","0000","별내유승한내들이노스타","84.8253","202108","9","67,000","6","2014","송산로 277","","-","-"
"경기도 남양주시 별내동","893","0893","0000","별내유승한내들이노스타","84.8253","202108","30","65,000","11","2014","송산로 277","","-","-"
"경기도 남양주시 별내동","893","0893","0000","별내유승한내들이노스타","84.8253","202109","8","70,000","12","2014","송산로 277","","-","-"
"경기도 남양주시 별내동","893","0893","0000","별내유승한내들이노스타","75.333","202109","11","65,000","13","2014","송산로 277","","-","-"
"경기도 남양주시 별내동","893","0893","0000","별내유승한내들이노스타","84.8253","202109","11","67,900","9","2014","송산로 277","","-","-"
"경기도 남양주시 별내동","893","0893","0000","별내유승한내들이노스타","84.7504","202111","10","71,500","9","2014","송산로 277","","중개거래","경기 남양주시"
"경기도 남양주시 별내동","893","0893","0000","별내유승한내들이노스타","75.333","202201","17","57,800","3","2014","송산로 277","","중개거래","경기 남양주시"
"경기도 남양주시 별내동","893","0893","0000","별내유승한내들이노스타","75.333","202202","9","60,500","6","2014","송산로 277","","중개거래","경기 남양주시"
"경기도 남양주시 별내동","893","0893","0000","별내유승한내들이노스타","75.333","202202","12","60,000","7","2014","송산로 277","20220329","중개거래","경기 남양주시"
"경기도 남양주시 별내동","893","0893","0000","별내유승한내들이노스타","84.8253","202202","14","63,500","1","2014","송산로 277","","중개거래","경기 남양주시"
"경기도 남양주시 별내동","893","0893","0000","별내유승한내들이노스타","75.333","202203","1","60,000","7","2014","송산로 277","","중개거래","경기 남양주시"
"경기도 남양주시 별내동","871","0871","0000","별내푸르지오","84.8194","202105","12","73,000","14","2015","송산로307번길 22","","-","-"
"경기도 남양주시 별내동","871","0871","0000","별내푸르지오","84.8794","202105","17","70,000","16","2015","송산로307번길 22","","-","-"
"경기도 남양주시 별내동","871","0871","0000","별내푸르지오","76.8213","202105","28","66,500","11","2015","송산로307번길 22","","-","-"
"경기도 남양주시 별내동","871","0871","0000","별내푸르지오","76.1462","202106","1","67,800","16","2015","송산로307번길 22","","-","-"
"경기도 남양주시 별내동","871","0871","0000","별내푸르지오","84.8194","202106","23","74,500","8","2015","송산로307번길 22","","-","-"
"경기도 남양주시 별내동","871","0871","0000","별내푸르지오","84.9653","202106","29","76,000","9","2015","송산로307번길 22","","-","-"
"경기도 남양주시 별내동","871","0871","0000","별내푸르지오","76.8213","202107","5","67,000","2","2015","송산로307번길 22","","-","-"
"경기도 남양주시 별내동","871","0871","0000","별내푸르지오","76.8213","202107","7","68,000","6","2015","송산로307번길 22","","-","-"
"경기도 남양주시 별내동","871","0871","0000","별내푸르지오","76.4274","202107","9","69,000","3","2015","송산로307번길 22","","-","-"
"경기도 남양주시 별내동","871","0871","0000","별내푸르지오","84.8194","202107","10","73,500","3","2015","송산로307번길 22","","-","-"
"경기도 남양주시 별내동","871","0871","0000","별내푸르지오","84.8194","202107","14","75,200","7","2015","송산로307번길 22","","-","-"
"경기도 남양주시 별내동","871","0871","0000","별내푸르지오","76.4274","202107","30","70,000","15","2015","송산로307번길 22","","-","-"
"경기도 남양주시 별내동","871","0871","0000","별내푸르지오","76.4274","202107","31","70,000","6","2015","송산로307번길 22","","-","-"
"경기도 남양주시 별내동","871","0871","0000","별내푸르지오","76.8213","202108","2","67,900","6","2015","송산로307번길 22","","-","-"
"경기도 남양주시 별내동","871","0871","0000","별내푸르지오","84.8194","202108","8","74,000","8","2015","송산로307번길 22","","-","-"
"경기도 남양주시 별내동","871","0871","0000","별내푸르지오","84.9653","202108","10","74,000","13","2015","송산로307번길 22","","-","-"
"경기도 남양주시 별내동","871","0871","0000","별내푸르지오","84.9032","202108","11","76,000","12","2015","송산로307번길 22","","-","-"
"경기도 남양주시 별내동","871","0871","0000","별내푸르지오","76.8213","202108","11","69,000","2","2015","송산로307번길 22","","-","-"
"경기도 남양주시 별내동","871","0871","0000","별내푸르지오","84.8194","202108","12","76,800","12","2015","송산로307번길 22","","-","-"
"경기도 남양주시 별내동","871","0871","0000","별내푸르지오","76.8213","202108","14","65,000","13","2015","송산로307번길 22","","-","-"
"경기도 남양주시 별내동","871","0871","0000","별내푸르지오","84.8194","202108","19","73,500","10","2015","송산로307번길 22","","-","-"
"경기도 남양주시 별내동","871","0871","0000","별내푸르지오","76.4274","202108","26","69,800","2","2015","송산로307번길 22","","-","-"
"경기도 남양주시 별내동","871","0871","0000","별내푸르지오","84.8194","202108","30","73,000","11","2015","송산로307번길 22","","-","-"
"경기도 남양주시 별내동","871","0871","0000","별내푸르지오","76.1462","202109","4","71,000","13","2015","송산로307번길 22","","-","-"
"경기도 남양주시 별내동","871","0871","0000","별내푸르지오","76.8213","202109","7","69,800","3","2015","송산로307번길 22","","-","-"
"경기도 남양주시 별내동","871","0871","0000","별내푸르지오","76.8213","202109","8","71,000","6","2015","송산로307번길 22","","-","-"
"경기도 남양주시 별내동","871","0871","0000","별내푸르지오","84.9032","202109","10","78,400","16","2015","송산로307번길 22","","-","-"
"경기도 남양주시 별내동","871","0871","0000","별내푸르지오","84.9032","202109","24","78,000","11","2015","송산로307번길 22","","-","-"
"경기도 남양주시 별내동","871","0871","0000","별내푸르지오","84.8194","202110","1","78,500","7","2015","송산로307번길 22","","-","-"
"경기도 남양주시 별내동","871","0871","0000","별내푸르지오","76.4274","202110","4","74,000","11","2015","송산로307번길 22","","-","-"
"경기도 남양주시 별내동","871","0871","0000","별내푸르지오","84.8194","202110","5","80,000","6","2015","송산로307번길 22","","-","-"
"경기도 남양주시 별내동","871","0871","0000","별내푸르지오","84.9653","202110","19","79,500","7","2015","송산로307번길 22","","-","-"
"경기도 남양주시 별내동","871","0871","0000","별내푸르지오","84.9653","202110","19","79,500","7","2015","송산로307번길 22","20211202","-","-"
"경기도 남양주시 별내동","871","0871","0000","별내푸르지오","84.9653","202110","22","79,500","18","2015","송산로307번길 22","","-","-"
"경기도 남양주시 별내동","871","0871","0000","별내푸르지오","84.8194","202110","30","78,000","12","2015","송산로307번길 22","","-","-"
"경기도 남양주시 별내동","871","0871","0000","별내푸르지오","76.8213","202111","26","72,800","11","2015","송산로307번길 22","","중개거래","경기 남양주시"
"경기도 남양주시 별내동","871","0871","0000","별내푸르지오","84.9032","202112","16","76,000","17","2015","송산로307번길 22","","중개거래","경기 남양주시"
"경기도 남양주시 별내동","871","0871","0000","별내푸르지오","84.8194","202201","28","75,000","13","2015","송산로307번길 22","","직거래","-"
"경기도 남양주시 별내동","871","0871","0000","별내푸르지오","84.9653","202202","8","75,000","21","2015","송산로307번길 22","","직거래","-"
"경기도 남양주시 별내동","871","0871","0000","별내푸르지오","84.9653","202203","25","74,000","3","2015","송산로307번길 22","","중개거래","경기 구리시, 경기 남양주시"
"경기도 남양주시 별내동","914","0914","0000","상록리슈빌","84.97","202105","28","77,000","11","2013","별내5로 119","","-","-"
"경기도 남양주시 별내동","914","0914","0000","상록리슈빌","84.96","202106","1","76,000","4","2013","별내5로 119","","-","-"
"경기도 남양주시 별내동","914","0914","0000","상록리슈빌","84.97","202107","24","77,500","11","2013","별내5로 119","","-","-"
"경기도 남양주시 별내동","914","0914","0000","상록리슈빌","84.97","202108","14","77,900","12","2013","별내5로 119","","-","-"
"경기도 남양주시 별내동","914","0914","0000","상록리슈빌","84.96","202108","21","80,000","9","2013","별내5로 119","","-","-"
